기관,담당부서,날짜,제목,링크
서울특별시,도시기반시설본부,2026-09-10,"양재대로 더 빨라진다… 서울시, 구룡~일원 잇는 ‘대모지하차도’ 12일(토) 임시 개통",https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466089
서울특별시,체육정책과,2026-09-10,"국가대표·올림픽 메달리스트 총출동… 서울시 선수단, 전국체전 출정",https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466088
서울특별시,금융투자과,2026-09-10,"(엠바고12시) 글로벌 투자자에 '서울 세일즈'…서울시, 런던서 혁신·산업·인재 앞세운 투자유치전",https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466087
서울특별시,시민감사옴부즈만위원회,2026-09-10,"(엠바고14시) 서울시 시민감사옴부즈만위원회, 출범 10주년 기념 행사 및 포럼 개최",https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466086
서울특별시,기획담당관,2026-09-10,(엠바고10시)(석간) 오세훈 시장. 'G3 서울플랜' 가동… 서울을 세계 3대 도시·삶의 질 특별시로,https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466084
서울특별시,노동정책과,2026-09-10,"(석간) 서울시, 2027년 생활임금 시급 12,757원 결정… 월 266만 원대",https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466083
서울특별시,대외협력과,2026-09-10,"(엠바고10시30분)(석간) 서울시 넥스트로컬, 롯데카드와 함께 로컬 크리에이터 축제 연다",https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466082
서울특별시,기후환경정책과,2026-09-10,"(석간) 서울시-기업, 기후위기 대응 위한‘제로서울기업실천단’2기 출범",https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466081
서울특별시,동부공원여가센터,2026-09-10,"(석간) 공연과 프로그램으로 특별한 주말,‘천호공원 가을축제’",https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466080
서울특별시,도시계획과,2026-09-10,(엠바고10시)(석간) 제15차 도시건축공동위원회 개최결과,https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466078
산림청,산림청,2026-09-10,"[남부지방산림청] 응급상황 대응능력 향상을 위한 소방훈련 실시  남부지방산림청(청장 이종수)은 21일 을지연습과 연계해 안동소방서 옥동119안전센터와 함께 유관기관 합동 소방훈련을 실시했다고 밝혔다. 이번 훈련은 남부지방산림청 자위소방대와 안동소방서 옥동 119안전센터가 협력해 공공청사 내 화재 발생 상황을 가정하고, 화재 발생 시...",https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardArticle.do;jsessionid=mpgEjbDLcBBdpH06a811iItMiwSaw1Fx7QZ7pPJN4xepiKftTy4Bykupfa80pJkU.frswas02_servlet_engine5?nttId=3224108&bbsId=BBSMSTR_1036&pageUnit=10&pageIndex=1&searchtitle=title&searchcont=&searchkey=&searchwriter=&searchWrd=&ctgryLrcls=&ctgryMdcls=&ctgrySmcls=&ntcStartDt=&ntcEndDt=&mn=NKFS_04_02_01&orgId=
산림청,산림청,2026-09-10,"[남부지방산림청] 남부지방산림청, 호우 대비 안전관리 강화  남부지방산림청(청장 이종수)은 지난 8월 28일 이후 지속된 호우로 인하여 산사태 발생 위험이 높아짐에 따라 관내 강수량이 집중된 예천군, 안동시 일대 취약지역에 대하여 안전점검을 실시했다고 9월 1일 밝혔다. * 누적강수량 : 예천 248.5mm, 안동 152.0mm...",https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardArticle.do;jsessionid=mpgEjbDLcBBdpH06a811iItMiwSaw1Fx7QZ7pPJN4xepiKftTy4Bykupfa80pJkU.frswas02_servlet_engine5?nttId=3224109&bbsId=BBSMSTR_1036&pageUnit=10&pageIndex=1&searchtitle=title&searchcont=&searchkey=&searchwriter=&searchWrd=&ctgryLrcls=&ctgryMdcls=&ctgrySmcls=&ntcStartDt=&ntcEndDt=&mn=NKFS_04_02_01&orgId=
산림청,산림청,2026-09-10,"[남부지방산림청] 남부지방산림청, ‘찾아가는 산림특별사법경찰 자문관실’ 운영  남부지방산림청(청장 이종수)은 산림 내 불법행위 증가에 대응하고, 최근 「형사소송법」 개정 시행에 따른 현장의 혼선을 줄이기 위해 ‘2026년 찾아가는 산림특별사법경찰 자문관실’을 운영하고 있다고 밝혔다. 남부지방산림청은 소속 5개 국유림관리소 및 울릉국유림사업소를 대...",https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardArticle.do;jsessionid=mpgEjbDLcBBdpH06a811iItMiwSaw1Fx7QZ7pPJN4xepiKftTy4Bykupfa80pJkU.frswas02_servlet_engine5?nttId=3224110&bbsId=BBSMSTR_1036&pageUnit=10&pageIndex=1&searchtitle=title&searchcont=&searchkey=&searchwriter=&searchWrd=&ctgryLrcls=&ctgryMdcls=&ctgrySmcls=&ntcStartDt=&ntcEndDt=&mn=NKFS_04_02_01&orgId=
산림청,산림청,2026-09-10,"[남부지방산림청] 남부지방산림청, 산불예방 숲가꾸기 현장점검  남부지방산림청(청장 이종수)은 9월 8일 경북 영양군 수비면 본신리 일원에서 산불예방 숲가꾸기 사업지 현장점검을 실시했다고 밝혔다. 이번 점검은 민가와 전통사찰 등 생활권 주변 산림의 산불 위험요인을 줄이고, 현장 여건에 맞는 숲가꾸기 사업이 추진되고 있는지 확인하기 ...",https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardArticle.do;jsessionid=mpgEjbDLcBBdpH06a811iItMiwSaw1Fx7QZ7pPJN4xepiKftTy4Bykupfa80pJkU.frswas02_servlet_engine5?nttId=3224111&bbsId=BBSMSTR_1036&pageUnit=10&pageIndex=1&searchtitle=title&searchcont=&searchkey=&searchwriter=&searchWrd=&ctgryLrcls=&ctgryMdcls=&ctgrySmcls=&ntcStartDt=&ntcEndDt=&mn=NKFS_04_02_01&orgId=
